epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.7873541712760925,0.893682062625885,0.26581138372421265,0.29545456171035767,0.09386281669139862,0.8550499677658081,0.9588068723678589,0.2242850959300995,0.8913043737411499,0.6307692527770996
1,0.8172617554664612,0.951766312122345,0.21406176686286926,0.8609625697135925,0.5812274217605591,0.8537735939025879,0.9573863744735718,0.17122657597064972,0.8958333730697632,0.6323529481887817
2,0.8273735046386719,0.953464686870575,0.19353532791137695,0.8449999690055847,0.614545464515686,0.8544952869415283,0.9559659361839294,0.20358890295028687,0.8979591727256775,0.6285714507102966
3,0.8147372007369995,0.9521059989929199,0.1884913444519043,0.8366336226463318,0.6101083159446716,0.8454925417900085,0.9559659361839294,0.17666392028331757,0.8888888955116272,0.6060606241226196
4,0.8295353055000305,0.9541440606117249,0.17811870574951172,0.85999995470047,0.616487443447113,0.8748915791511536,0.9630681872367859,0.15430201590061188,1.0,0.6119402647018433
5,0.8444491624832153,0.9609375,0.15949147939682007,0.9606741666793823,0.6129032373428345,0.9204267859458923,0.9630681872367859,0.1680152267217636,0.9574468731880188,0.6521739363670349
6,0.8929952383041382,0.9619565606117249,0.14577172696590424,0.9617486000061035,0.6263344883918762,0.924954891204834,0.9659091234207153,0.11899393796920776,0.9512195587158203,0.6393442749977112
7,0.8950297832489014,0.961277186870575,0.1462436020374298,0.9555555582046509,0.6187050342559814,0.9530525803565979,0.9559659361839294,0.13586294651031494,1.0,0.5507246255874634
8,0.9292975664138794,0.9619565606117249,0.1273041069507599,0.9715909361839294,0.6151079535484314,0.9689489603042603,0.9659091234207153,0.10815288126468658,1.0,0.6363636255264282
9,0.9566925764083862,0.967391312122345,0.10861624777317047,0.9420289993286133,0.698924720287323,0.977188229560852,0.96875,0.09183987230062485,0.8983050584793091,0.7681159377098083
10,0.963863730430603,0.96875,0.098148413002491,0.9111111164093018,0.7400721907615662,0.9510669708251953,0.9673295617103577,0.11507584899663925,1.0,0.6666666865348816
11,0.9593706130981445,0.965692937374115,0.10775914788246155,0.9065420031547546,0.7054545283317566,0.987927258014679,0.9772727489471436,0.06586775928735733,0.9615384936332703,0.78125
12,0.9805120229721069,0.9741848111152649,0.07786596566438675,0.939393937587738,0.7777777910232544,0.9830198287963867,0.9815341234207153,0.05396586284041405,0.9344263076782227,0.8636363744735718
13,0.9750434756278992,0.97486412525177,0.07639944553375244,0.8859315514564514,0.8411552309989929,0.9671892523765564,0.9815341234207153,0.06586029380559921,0.9661017060279846,0.8382353186607361
14,0.9895653128623962,0.9786005616188049,0.05835561081767082,0.9090909361839294,0.8602150678634644,0.984658420085907,0.980113685131073,0.06199910491704941,0.8714285492897034,0.9242424368858337
15,0.9963852167129517,0.984714686870575,0.0417059101164341,0.9396226406097412,0.8956834673881531,0.9800524115562439,0.9829545617103577,0.050370294600725174,0.9830508232116699,0.8405797481536865
16,0.9929035305976868,0.9819973111152649,0.048426903784275055,0.9375,0.8664259910583496,0.9950990676879883,0.9900568723678589,0.0418444499373436,1.0,0.8999999761581421
17,0.9914072751998901,0.9816576242446899,0.049206819385290146,0.9305019378662109,0.8700361251831055,0.9741821885108948,0.984375,0.05611573904752731,0.9818182587623596,0.84375
18,0.9939168691635132,0.9870924353599548,0.037808798253536224,0.9584906101226807,0.9039145708084106,0.9898638725280762,0.9886363744735718,0.038110725581645966,0.9523810148239136,0.9230769276618958
19,0.998227059841156,0.98777174949646,0.030935009941458702,0.9420289993286133,0.9285714626312256,0.9908136129379272,0.9886363744735718,0.04281415790319443,0.9841270446777344,0.8985507488250732
